Date,neg,neu,pos,sentiment
2023-06-15,0.0,0.93625,0.06375,0.085
2023-06-16,0.0,0.90675,0.09325,0.2863
2023-06-19,0.0,0.8320000000000001,0.168,0.36345
2023-06-20,0.0,0.741,0.259,0.5983
2023-06-21,0.0,1.0,0.0,0.0
2023-06-22,0.0,0.0,0.0,0.0
2023-06-23,0.0,0.9530000000000001,0.047,0.1691
2023-06-26,0.0,1.0,0.0,0.0
2023-06-27,0.0,1.0,0.0,0.0
2023-06-28,0.0,0.0,0.0,0.0
2023-06-29,0.0,1.0,0.0,0.0
2023-06-30,0.0,0.7246666666666667,0.2753333333333333,0.3327
2023-07-03,0.0,1.0,0.0,0.0
2023-07-04,0.0,0.704,0.296,0.2732
2023-07-05,0.0,0.9256666666666667,0.07433333333333332,0.12843333333333332
2023-07-06,0.0,0.9695,0.0305,0.15285
2023-07-07,0.055714285714285716,0.886142857142857,0.05814285714285714,-0.013242857142857143
2023-07-10,0.02266666666666667,0.9386666666666666,0.03866666666666667,0.08800000000000001
2023-07-11,0.0,1.0,0.0,0.0
2023-07-12,0.0,1.0,0.0,0.0
2023-07-13,0.0,1.0,0.0,0.0
2023-07-14,0.022833333333333334,0.8533333333333334,0.12383333333333334,0.16663333333333333
2023-07-17,0.0,1.0,0.0,0.0
2023-07-18,0.0,1.0,0.0,0.0
2023-07-19,0.0,0.526,0.474,0.4019
2023-07-20,0.043333333333333335,0.6653333333333333,0.29133333333333333,0.2573666666666667
2023-07-21,0.0,0.9464,0.0536,0.059199999999999996
2023-07-24,0.0,0.866,0.134,0.1779
2023-07-25,0.0,1.0,0.0,0.0
2023-07-26,0.0,0.9206666666666666,0.07933333333333333,0.12040000000000001
2023-07-27,0.0,1.0,0.0,0.0
2023-07-28,0.0,0.8985714285714286,0.10142857142857142,0.13297142857142857
2023-07-31,0.0,1.0,0.0,0.0
2023-08-01,0.0095,0.8161666666666667,0.17433333333333334,0.2978166666666667
2023-08-02,0.0,0.333,0.667,0.7184
2023-08-03,0.0,1.0,0.0,0.0
2023-08-04,0.0,0.80875,0.19125,0.24630000000000002
2023-08-07,0.02,0.6765,0.303,0.6274
2023-08-08,0.0,1.0,0.0,0.0
2023-08-09,0.08975,0.84975,0.0605,0.018100000000000005
2023-08-10,0.0,1.0,0.0,0.0
2023-08-11,0.0,1.0,0.0,0.0
2023-08-14,0.0,0.8225,0.1775,0.2553
2023-08-15,0.193,0.807,0.0,-0.4767
2023-08-16,0.10075,0.83525,0.064,0.01870000000000001
2023-08-17,0.0,0.724,0.276,0.6369
2023-08-18,0.0,0.9102,0.0898,0.14397
2023-08-21,0.0,0.781,0.219,0.20473333333333332
2023-08-22,0.0,1.0,0.0,0.0
2023-08-23,0.0,1.0,0.0,0.0
2023-08-24,0.0,0.0,0.0,0.0
2023-08-25,0.0,0.8983000000000001,0.10169999999999998,0.16352
2023-08-28,0.0,0.82,0.18,0.296
2023-08-29,0.0,1.0,0.0,0.0
2023-08-30,0.0,0.794,0.206,0.31845
2023-08-31,0.0,0.9056000000000001,0.09440000000000001,0.131
2023-09-01,0.1515,0.4835,0.365,0.29124999999999995
2023-09-04,0.155,0.707,0.138,0.11750000000000002
2023-09-05,0.111,0.8889999999999999,0.0,-0.15293333333333334
2023-09-06,0.0,1.0,0.0,0.0
2023-09-07,0.0,0.9818,0.0182,0.00516
2023-09-08,0.0,0.8300000000000001,0.16999999999999998,0.30605
2023-09-11,0.0,1.0,0.0,0.0
2023-09-12,0.0,1.0,0.0,0.0
2023-09-13,0.0,0.86675,0.13324999999999998,0.184925
2023-09-14,0.0,1.0,0.0,0.0
2023-09-15,0.061399999999999996,0.7958000000000001,0.14279999999999998,0.12228000000000001
2023-09-18,0.0,0.0,0.0,0.0
2023-09-19,0.0,0.9513333333333334,0.048666666666666664,0.11273333333333334
2023-09-20,0.0,0.7386666666666667,0.26133333333333336,0.48313333333333336
2023-09-21,0.0,0.789,0.211,0.4939
2023-09-22,0.013777777777777778,0.9495555555555555,0.03666666666666667,-0.004499999999999998
2023-09-25,0.0,1.0,0.0,0.0
2023-09-26,0.0,1.0,0.0,0.0
2023-09-27,0.0,0.932,0.068,0.1336166666666667
2023-09-28,0.0,0.7239999999999999,0.27599999999999997,0.1953
2023-09-29,0.0,0.9693999999999999,0.0306,0.04046
2023-10-02,0.021,0.644,0.33499999999999996,0.68495
2023-10-03,0.0,0.9591666666666666,0.04083333333333333,0.06363333333333333
2023-10-04,0.1082,0.7474999999999999,0.1442,0.19273
2023-10-05,0.0214,0.7841333333333333,0.1944,0.2870266666666667
2023-10-06,0.0,1.0,0.0,0.0
2023-10-09,0.0,0.7676666666666666,0.23233333333333336,0.11493333333333335
2023-10-10,0.0,0.768,0.232,0.1909
2023-10-11,0.0,0.7919999999999999,0.208,0.19326666666666667
2023-10-12,0.0,1.0,0.0,0.0
2023-10-13,0.0,0.8570909090909091,0.1429090909090909,0.14535454545454546
2023-10-16,0.0504,0.8907999999999999,0.0588,0.07120000000000001
2023-10-17,0.0,0.778,0.222,0.2463
2023-10-18,0.13433333333333333,0.7516666666666666,0.114,-0.006700000000000002
2023-10-19,0.545,0.455,0.0,-0.34
2023-10-20,0.0,0.92425,0.07575000000000001,0.099675
2023-10-23,0.0,1.0,0.0,0.0
2023-10-24,0.0,0.937,0.063,0.100475
2023-10-25,0.13433333333333333,0.735,0.13066666666666668,0.11259999999999999
